Unique Process ID,Process ID,Unique Thread ID,Thread ID,Thread Name,Thread Begin Time,Thread End Time,Thread Start Address,Life Time,
1,5048,75,16328,"Unknown","1 141,53","1 153,48",140 723 772 198 448,"11,95",
1,5048,76,13420,"Unknown","1 142,47","1 152,33",140 723 772 198 448,"9,86",
1,5048,77,11996,"Unknown","1 142,97","1 153,95",140 723 772 198 448,"10,98",
1,5048,78,19272,"Unknown","1 206,80","1 217,22",140 723 772 198 448,"10,42",
1,5048,79,14076,"Unknown","1 207,48","1 217,58",140 723 772 198 448,"10,10",
1,5048,80,17412,"Unknown","1 208,30","1 220,35",140 723 772 198 448,"12,04",
1,5048,81,7888,"Unknown","1 208,97","1 219,15",140 723 772 198 448,"10,19",
1,5048,82,5288,"Unknown","1 209,37","1 219,66",140 723 772 198 448,"10,29",
1,5048,83,14580,"Unknown","1 209,81","1 221,47",140 723 772 198 448,"11,65",
1,5048,84,15248,"Unknown","1 210,60","1 228,53",140 723 772 198 448,"17,94",
1,5048,85,14112,"Unknown","1 217,87","1 229,41",140 723 772 198 448,"11,54",
1,5048,86,13884,"Unknown","1 218,66","1 230,23",140 723 772 198 448,"11,57",
1,5048,87,17324,"Unknown","1 219,36","1 230,60",140 723 772 198 448,"11,24",
1,5048,88,8084,"Unknown","1 219,85","1 232,39",140 723 772 198 448,"12,54",
1,5048,89,1276,"Unknown","1 220,93","1 231,87",140 723 772 198 448,"10,94",
1,5048,90,19184,"Unknown","1 279,54","1 290,31",140 723 772 198 448,"10,76",
1,5048,91,10132,"Unknown","1 280,11","1 288,73",140 723 772 198 448,"8,61",
1,5048,92,8000,"Unknown","1 280,87","1 291,81",140 723 772 198 448,"10,94",
1,5048,93,15152,"Unknown","1 281,50","1 291,10",140 723 772 198 448,"9,60",
1,5048,94,18300,"Unknown","1 281,94","1 292,09",140 723 772 198 448,"10,16",
1,5048,95,14796,"Unknown","1 282,40","1 299,14",140 723 772 198 448,"16,74",
1,5048,96,15764,"Unknown","1 282,88","1 296,01",140 723 772 198 448,"13,13",
1,5048,97,5996,"Unknown","1 285,19","1 298,08",140 723 772 198 448,"12,90",
1,5048,98,17668,"Unknown","1 289,06","1 300,71",140 723 772 198 448,"11,65",
1,5048,99,19816,"Unknown","1 291,39","1 301,69",140 723 772 198 448,"10,30",
1,5048,100,10332,"Unknown","1 292,03","1 302,06",140 723 772 198 448,"10,02",
1,5048,101,380,"Unknown","1 292,55","1 305,43",140 723 772 198 448,"12,87",
1,5048,102,19452,"Unknown","1 296,04","1 305,84",140 723 772 198 448,"9,80",
1,5048,103,15676,"Unknown","1 354,57","1 363,82",140 723 772 198 448,"9,25",
1,5048,104,8356,"Unknown","1 355,11","1 363,82",140 723 772 198 448,"8,71",
1,5048,105,9864,"Unknown","1 355,79","1 365,35",140 723 772 198 448,"9,56",
1,5048,106,3520,"Unknown","1 356,32","1 365,46",140 723 772 198 448,"9,14",
1,5048,107,20252,"Unknown","1 356,70","1 365,80",140 723 772 198 448,"9,10",
1,5048,108,14508,"Unknown","1 357,09","1 367,45",140 723 772 198 448,"10,36",
1,5048,109,16668,"Unknown","1 357,52","1 372,97",140 723 772 198 448,"15,45",
1,5048,110,5056,"Unknown","1 363,88","1 373,08",140 723 772 198 448,"9,20",
1,5048,111,5068,"Unknown","1 364,55","1 374,85",140 723 772 198 448,"10,30",
1,5048,112,17876,"Unknown","1 365,13","1 375,77",140 723 772 198 448,"10,64",
1,5048,113,15624,"Unknown","1 365,70","1 375,30",140 723 772 198 448,"9,60",
1,5048,114,7228,"Unknown","1 366,27","1 376,70",140 723 772 198 448,"10,43",
1,5048,115,6940,"Unknown","1 367,65","1 376,99",140 723 772 198 448,"9,34",
1,5048,116,1160,"Unknown","1 369,00","1 379,98",140 723 772 198 448,"10,99",
1,5048,117,20232,"Unknown","1 426,84","1 434,83",140 723 772 198 448,"7,99",
1,5048,118,11776,"Unknown","1 427,32","1 434,88",140 723 772 198 448,"7,56",
1,5048,119,17596,"Unknown","1 427,92","1 436,34",140 723 772 198 448,"8,42",
1,5048,120,10120,"Unknown","1 428,45","1 436,67",140 723 772 198 448,"8,22",
1,5048,121,13712,"Unknown","1 428,86","1 437,75",140 723 772 198 448,"8,90",
1,5048,122,17728,"Unknown","1 429,23","1 438,45",140 723 772 198 448,"9,22",
1,5048,123,1628,"Unknown","1 429,60","1 438,76",140 723 772 198 448,"9,16",
1,5048,124,8696,"Unknown","1 430,05","1 439,51",140 723 772 198 448,"9,46",
1,5048,125,16736,"Unknown","1 430,44","1 442,86",140 723 772 198 448,"12,42",
1,5048,126,15296,"Unknown","1 435,04","1 443,69",140 723 772 198 448,"8,65",
1,5048,127,5440,"Unknown","1 435,46","1 444,72",140 723 772 198 448,"9,26",
1,5048,128,19248,"Unknown","1 436,44","1 445,01",140 723 772 198 448,"8,57",
1,5048,129,14412,"Unknown","1 437,73","1 444,31",140 723 772 198 448,"6,58",
1,5048,130,11920,"Unknown","1 438,25","1 445,65",140 723 772 198 448,"7,40",
1,5048,131,5400,"Unknown","1 438,69","1 446,17",140 723 772 198 448,"7,48",
1,5048,132,16940,"Unknown","1 492,93","1 501,33",140 723 772 198 448,"8,41",
1,5048,133,11696,"Unknown","1 493,54","1 501,26",140 723 772 198 448,"7,73",
1,5048,134,9672,"Unknown","1 494,19","1 503,16",140 723 772 198 448,"8,98",
1,5048,135,872,"Unknown","1 494,74","1 503,32",140 723 772 198 448,"8,58",
1,5048,136,2124,"Unknown","1 495,23","1 502,97",140 723 772 198 448,"7,74",
1,5048,137,15704,"Unknown","1 495,62","1 505,11",140 723 772 198 448,"9,49",
1,5048,138,16552,"Unknown","1 496,01","1 505,10",140 723 772 198 448,"9,09",
1,5048,139,18492,"Unknown","1 496,57","1 508,70",140 723 772 198 448,"12,13",
1,5048,140,15792,"Unknown","1 500,17","1 509,15",140 723 772 198 448,"8,98",
1,5048,141,18780,"Unknown","1 501,49","1 510,52",140 723 772 198 448,"9,02",
1,5048,142,17860,"Unknown","1 501,95","1 510,55",140 723 772 198 448,"8,61",
1,5048,143,16264,"Unknown","1 503,25","1 511,17",140 723 772 198 448,"7,93",
1,5048,144,8792,"Unknown","1 503,63","1 511,87",140 723 772 198 448,"8,24",
1,5048,145,14152,"Unknown","1 504,03","1 512,42",140 723 772 198 448,"8,39",
1,5048,146,2964,"Unknown","1 505,26","1 512,33",140 723 772 198 448,"7,07",
1,5048,147,16112,"Unknown","1 505,66","1 514,60",140 723 772 198 448,"8,94",
1,5048,148,6072,"Unknown","1 563,56","1 570,96",140 723 772 198 448,"7,39",
1,5048,149,14864,"Unknown","1 564,09","1 570,91",140 723 772 198 448,"6,81",
1,5048,150,16000,"Unknown","1 564,72","1 573,44",140 723 772 198 448,"8,72",
1,5048,151,1916,"Unknown","1 565,28","1 573,45",140 723 772 198 448,"8,16",
1,5048,152,20112,"Unknown","1 565,67","1 573,68",140 723 772 198 448,"8,01",
1,5048,153,1480,"Unknown","1 566,04","1 573,44",140 723 772 198 448,"7,40",
1,5048,154,15760,"Unknown","1 566,43","1 575,24",140 723 772 198 448,"8,81",
1,5048,155,13360,"Unknown","1 566,82","1 578,71",140 723 772 198 448,"11,89",
1,5048,156,1592,"Unknown","1 571,31","1 580,87",140 723 772 198 448,"9,56",
1,5048,157,18824,"Unknown","1 573,47","1 582,16",140 723 772 198 448,"8,69",
1,5048,158,12484,"Unknown","1 574,67","1 582,58",140 723 772 198 448,"7,91",
1,5048,159,12652,"Unknown","1 575,46","1 583,63",140 723 772 198 448,"8,17",
1,5048,160,14480,"Unknown","1 576,01","1 585,29",140 723 772 198 448,"9,28",
1,5048,161,556,"Unknown","1 577,05","1 585,04",140 723 772 198 448,"7,99",
1,5048,162,17572,"Unknown","1 577,49","1 585,42",140 723 772 198 448,"7,93",
1,5048,163,8120,"Unknown","1 577,89","1 585,51",140 723 772 198 448,"7,62",
1,5048,164,20060,"Unknown","1 579,85","1 587,58",140 723 772 198 448,"7,72",
1,5048,165,18820,"Unknown","1 634,12","1 640,69",140 723 772 198 448,"6,57",
1,5048,166,9124,"Unknown","1 634,77","1 641,02",140 723 772 198 448,"6,25",
1,5048,167,19020,"Unknown","1 635,42","1 642,14",140 723 772 198 448,"6,72",
1,5048,168,8780,"Unknown","1 635,93","1 643,44",140 723 772 198 448,"7,51",
1,5048,169,17680,"Unknown","1 636,28","1 643,62",140 723 772 198 448,"7,33",
1,5048,170,20040,"Unknown","1 636,71","1 643,72",140 723 772 198 448,"7,00",
1,5048,171,19760,"Unknown","1 637,09","1 644,42",140 723 772 198 448,"7,33",
1,5048,172,8728,"Unknown","1 637,49","1 645,50",140 723 772 198 448,"8,01",
1,5048,173,2644,"Unknown","1 637,86","1 647,83",140 723 772 198 448,"9,97",
1,5048,174,14364,"Unknown","1 640,90","1 648,88",140 723 772 198 448,"7,98",
1,5048,175,18564,"Unknown","1 641,36","1 649,71",140 723 772 198 448,"8,35",
1,5048,176,16524,"Unknown","1 642,46","1 650,30",140 723 772 198 448,"7,85",
