Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Callee","[ucrtbase.dll]","[KernelBase.dll]",1 258,1,"2,30","0,00",
"Callee","[ucrtbase.dll]","[ntdll.dll]",152,6,"0,28","0,01",
"Callee","[ucrtbase.dll]","[ucrtbase.dll]",1 272,5,"2,32","0,01",
"Callee","[ucrtbase.dll]","std::_Pad::_Call_func",7 110,0,"12,99","0,00",
"Root","[vcruntime140.dll]","[vcruntime140.dll]",2,0,"0,00","0,00",
"Caller","[vcruntime140.dll]","[ntdll.dll]",2,0,"0,00","0,00",
"Caller","[vcruntime140.dll]","[vcruntime140.dll]",2,0,"0,00","0,00",
"Callee","[vcruntime140.dll]","[ntdll.dll]",1,1,"0,00","0,00",
"Callee","[vcruntime140.dll]","[ucrtbase.dll]",1,1,"0,00","0,00",
"Callee","[vcruntime140.dll]","[vcruntime140.dll]",2,0,"0,00","0,00",
"Root","__local_stdio_printf_options","__local_stdio_printf_options",26,26,"0,05","0,05",
"Root","__raise_securityfailure","__raise_securityfailure",193,193,"0,35","0,35",
"Root","__report_gsfailure","__report_gsfailure",558,558,"1,02","1,02",
"Root","__scrt_acquire_startup_lock","__scrt_acquire_startup_lock",222,222,"0,41","0,41",
"Root","__scrt_common_main_seh","__scrt_common_main_seh",2 266,0,"4,14","0,00",
"Caller","__scrt_common_main_seh","[kernel32.dll]",2 266,0,"4,14","0,00",
"Callee","__scrt_common_main_seh","main",2 266,0,"4,14","0,00",
"Root","__scrt_dllmain_after_initialize_c","__scrt_dllmain_after_initialize_c",132,132,"0,24","0,24",
"Root","__scrt_dllmain_before_initialize_c","__scrt_dllmain_before_initialize_c",97,97,"0,18","0,18",
"Root","__scrt_dllmain_crt_thread_attach","__scrt_dllmain_crt_thread_attach",152,152,"0,28","0,28",
"Root","__scrt_dllmain_crt_thread_detach","__scrt_dllmain_crt_thread_detach",42,42,"0,08","0,08",
"Root","__scrt_dllmain_exception_filter","__scrt_dllmain_exception_filter",293,293,"0,54","0,54",
"Root","__scrt_dllmain_uninitialize_c","__scrt_dllmain_uninitialize_c",68,68,"0,12","0,12",
"Root","__scrt_dllmain_uninitialize_critical","__scrt_dllmain_uninitialize_critical",39,39,"0,07","0,07",
"Root","__scrt_initialize_crt","__scrt_initialize_crt",252,252,"0,46","0,46",
"Root","__scrt_initialize_default_local_stdio_options","__scrt_initialize_default_local_stdio_options",68,68,"0,12","0,12",
"Root","__scrt_initialize_onexit_tables","__scrt_initialize_onexit_tables",632,632,"1,15","1,15",
"Root","__scrt_initialize_type_info","__scrt_initialize_type_info",14,14,"0,03","0,03",
"Root","__scrt_is_nonwritable_in_current_image","__scrt_is_nonwritable_in_current_image",426,426,"0,78","0,78",
"Root","__scrt_release_startup_lock","__scrt_release_startup_lock",1,1,"0,00","0,00",
"Root","__scrt_uninitialize_type_info","__scrt_uninitialize_type_info",25,25,"0,05","0,05",
"Root","__security_check_cookie","__security_check_cookie",1 210,1 210,"2,21","2,21",
"Root","__security_init_cookie","__security_init_cookie",536,536,"0,98","0,98",
"Root","_DllMainCRTStartup","_DllMainCRTStartup",210,210,"0,38","0,38",
"Root","_scprintf","_scprintf",1,0,"0,00","0,00",
"Caller","_scprintf","main",1,0,"0,00","0,00",
"Callee","_scprintf","[ucrtbase.dll]",1,0,"0,00","0,00",
"Root","BMPReader::ReadBMP","BMPReader::ReadBMP",652,0,"1,19","0,00",
"Caller","BMPReader::ReadBMP","BMPTransformer::ValidateParams",652,0,"1,19","0,00",
"Callee","BMPReader::ReadBMP","[ucrtbase.dll]",627,0,"1,15","0,00",
"Callee","BMPReader::ReadBMP","operator new",6,0,"0,01","0,00",
"Callee","BMPReader::ReadBMP","std::basic_filebuf<char,std::char_traits<char> >::close",3,0,"0,01","0,00",
"Callee","BMPReader::ReadBMP","std::basic_filebuf<char,std::char_traits<char> >::open",16,0,"0,03","0,00",
