Unique Process ID,Process ID,Process Name,Process Begin Time,Process End Time,Life Time,
0,0,"ntoskrnl.exe","0,00","15 548,50","15 548,50",
1,5048,"JAProject.exe","112,86","15 532,18","15 419,32",
